wx,wy,wz,dx,dy,dz,tot,sel,cols,collision,cdens,radius,vx,vy,vz,px,py,pz
1,8,1,117649,1,1,117648,s,58824,0,0.5,0.2,0,0,0,0,0,0
1,8,1,117649,1,1,117648,s,58824,0,0.5,0.198,0,0,0,0,0,0
1,8,1,117649,1,1,117648,s,58824,0,0.5,0.19602,0,0,0,0,0,0
1,8,1,117649,1,1,117648,s,58824,0,0.5,0.1940598,0,0,0,0,0,0
1,8,1,117649,1,1,117648,a,58824,0,0.5,0.192119202,0,0,0,0,0,0
1,8,1,117649,1,1,117648,a,58824,0,0.5,0.19019801,0,0,0,0,0,0
1,8,1,117649,1,1,117648,a,58824,0,0.5,0.18829603,0,0,0,0,0,0
1,8,1,117649,1,1,117648,a,58824,0,0.5,0.18641307,0,0,0,0,0,0
1,8,1,117649,1,1,117648,a,58824,0,0.5,0.184548939,0,0,0,0,0,0
1,8,1,117649,1,1,117648,a,58824,0,0.5,0.182703449,0,0,0,0,0,0
1,8,1,117649,1,1,117648,a,58824,0,0.5,0.180876415,0,0,0,0,0,0
1,8,1,117649,1,1,117648,a,58824,0,0.5,0.179067651,0,0,0,0,0,0
1,8,1,117649,1,1,117648,a,58824,0,0.5,0.177276974,0,0,0,0,0,0
1,8,1,117649,1,1,117648,a,58824,0,0.5,0.175504205,0,0,0,0,0,0
1,8,1,117649,1,1,117648,a,58824,0,0.5,0.173749163,0,0,0,0,0,0
1,8,1,117649,1,1,117648,a,58824,0,0.5,0.172011671,0,0,0,0,0,0
1,8,1,117649,1,1,117648,a,58824,0,0.5,0.170291554,0,0,0,0,0,0
1,8,1,117649,1,1,117648,a,58824,0,0.5,0.168588639,0,0,0,0,0,0
1,8,1,117649,1,1,117648,a,58824,0,0.5,0.166902752,0,0,0,0,0,0
1,8,1,117649,1,1,117648,a,58824,0,0.5,0.165233725,0,0,0,0,0,0
1,8,1,117649,1,1,117648,a,58824,0,0.5,0.163581388,0,0,0,0,0,0
1,8,1,117649,1,1,117648,a,58824,0,0.5,0.161945574,0,0,0,0,0,0
1,8,1,117649,1,1,117648,a,58824,0,0.5,0.160326118,0,0,0,0,0,0
1,8,1,117649,1,1,117648,a,58824,0,0.5,0.158722857,0,0,0,0,0,0
1,8,1,117649,1,1,117648,a,58824,0,0.5,0.157135628,0,0,0,0,0,0
1,8,1,117649,1,1,117648,a,58824,0,0.5,0.155564272,0,0,0,0,0,0
1,8,1,117649,1,1,117648,a,58824,0,0.5,0.154008629,0,0,0,0,0,0
1,8,1,117649,1,1,117648,a,58824,0,0.5,0.152468543,0,0,0,0,0,0
1,8,1,117649,1,1,117648,a,58824,0,0.5,0.150943857,0,0,0,0,0,0
1,8,1,117649,1,1,117648,a,58824,0,0.5,0.149434419,0,0,0,0,0,0
1,8,1,117649,1,1,117648,a,58824,0,0.5,0.147940075,0,0,0,0,0,0
1,8,1,117649,1,1,117648,a,58824,0,0.5,0.146460674,0,0,0,0,0,0
1,8,1,117649,1,1,117648,a,58824,0,0.5,0.144996067,0,0,0,0,0,0
1,8,1,117649,1,1,117648,a,58824,0,0.5,0.143546107,0,0,0,0,0,0
1,8,1,117649,1,1,117648,a,58824,0,0.5,0.142110645,0,0,0,0,0,0
