time,fps,cpums,cms,gms,expectedp,loadedp,shaderp_comp,shaderp_grph, expectedc,shaderc,threadcount, sidelen,density,PERR,CERR
0,3029,0.000330142,7.616e-06,1.1776e-05,3,3,3,3,4,4,3,3,0,0,0
1,3047,0.000328192,9.76e-06,1.552e-05,3,3,3,3,4,4,3,3,0,0,0
2,2981,0.000335458,1.1136e-05,1.6544e-05,3,3,3,3,4,4,3,3,0,0,0
3,2895,0.000345423,1.2576e-05,1.8688e-05,3,3,3,3,4,4,3,3,0,0,0
4,2886,0.0003465,1.3024e-05,1.9488e-05,3,3,3,3,4,4,3,3,0,0,0
5,2821,0.000354484,1.4016e-05,1.9968e-05,3,3,3,3,4,4,3,3,0,0,0
6,2788,0.00035868,1.4464e-05,2.2528e-05,3,3,3,3,4,4,3,3,0,0,0
7,2720,0.000367647,1.5328e-05,2.3424e-05,3,3,3,3,4,4,3,3,0,0,0
8,2695,0.000371058,1.4624e-05,2.3392e-05,3,3,3,3,4,4,3,3,0,0,0
9,2710,0.000369004,1.568e-05,2.3008e-05,3,3,3,3,4,4,3,3,0,0,0
10,2637,0.000379219,1.5712e-05,2.3616e-05,3,3,3,3,4,4,3,3,0,0,0
11,2642,0.000378501,1.5296e-05,2.3264e-05,3,3,3,3,4,4,3,3,0,0,0
12,2662,0.000375657,1.5392e-05,2.3808e-05,3,3,3,3,4,4,3,3,0,0,0
13,2673,0.000374111,1.568e-05,2.3616e-05,3,3,3,3,4,4,3,3,0,0,0
14,2655,0.000376648,1.6064e-05,2.4032e-05,3,3,3,3,4,4,3,3,0,0,0
15,2682,0.000372856,1.5232e-05,2.4224e-05,3,3,3,3,4,4,3,3,0,0,0
16,2627,0.000380662,1.4784e-05,2.32e-05,3,3,3,3,4,4,3,3,0,0,0
17,2647,0.000377786,1.5936e-05,2.3136e-05,3,3,3,3,4,4,3,3,0,0,0
18,2671,0.000374392,1.5424e-05,2.4736e-05,3,3,3,3,4,4,3,3,0,0,0
19,2657,0.000376364,1.5456e-05,2.4e-05,3,3,3,3,4,4,3,3,0,0,0
20,2621,0.000381534,1.52e-05,2.4096e-05,3,3,3,3,4,4,3,3,0,0,0
21,2617,0.000382117,1.5968e-05,2.5056e-05,3,3,3,3,4,4,3,3,0,0,0
22,2425,0.000412371,1.6544e-05,2.5248e-05,3,3,3,3,4,4,3,3,0,0,0
23,2532,0.000394945,1.5648e-05,2.4128e-05,3,3,3,3,4,4,3,3,0,0,0
24,2544,0.000393082,1.6448e-05,2.5664e-05,3,3,3,3,4,4,3,3,0,0,0
25,2514,0.000397772,1.7024e-05,2.416e-05,3,3,3,3,4,4,3,3,0,0,0
26,2522,0.000396511,1.6864e-05,2.4e-05,3,3,3,3,4,4,3,3,0,0,0
27,2493,0.000401123,1.6128e-05,2.464e-05,3,3,3,3,4,4,3,3,0,0,0
28,2492,0.000401284,1.6512e-05,2.5536e-05,3,3,3,3,4,4,3,3,0,0,0
29,2518,0.000397141,1.6896e-05,2.5696e-05,3,3,3,3,4,4,3,3,0,0,0
30,2495,0.000400802,1.5936e-05,2.32e-05,3,3,3,3,4,4,3,3,0,0,0
31,2581,0.000387447,1.6256e-05,2.4032e-05,3,3,3,3,4,4,3,3,0,0,0
32,2591,0.000385951,1.5072e-05,2.3232e-05,3,3,3,3,4,4,3,3,0,0,0
33,2569,0.000389257,1.5744e-05,2.3712e-05,3,3,3,3,4,4,3,3,0,0,0
34,2583,0.000387147,1.5488e-05,2.4736e-05,3,3,3,3,4,4,3,3,0,0,0
35,2524,0.000396197,1.5936e-05,2.4256e-05,3,3,3,3,4,4,3,3,0,0,0
36,2491,0.000401445,1.6224e-05,2.2944e-05,3,3,3,3,4,4,3,3,0,0,0
37,2534,0.000394633,1.5904e-05,2.4736e-05,3,3,3,3,4,4,3,3,0,0,0
38,2517,0.000397298,1.6608e-05,2.5184e-05,3,3,3,3,4,4,3,3,0,0,0
39,2458,0.000406835,1.664e-05,2.5792e-05,3,3,3,3,4,4,3,3,0,0,0
40,2542,0.000393391,1.5328e-05,2.4288e-05,3,3,3,3,4,4,3,3,0,0,0
41,2509,0.000398565,1.6032e-05,2.2816e-05,3,3,3,3,4,4,3,3,0,0,0
42,2554,0.000391543,1.5616e-05,2.4e-05,3,3,3,3,4,4,3,3,0,0,0
43,2551,0.000392003,1.5808e-05,2.4896e-05,3,3,3,3,4,4,3,3,0,0,0
44,2497,0.000400481,1.7024e-05,2.4608e-05,3,3,3,3,4,4,3,3,0,0,0
45,2493,0.000401123,1.6768e-05,2.5248e-05,3,3,3,3,4,4,3,3,0,0,0
46,2562,0.00039032,1.5904e-05,2.4416e-05,3,3,3,3,4,4,3,3,0,0,0
47,2456,0.000407166,1.6544e-05,2.4608e-05,3,3,3,3,4,4,3,3,0,0,0
48,2490,0.000401606,1.6192e-05,2.4992e-05,3,3,3,3,4,4,3,3,0,0,0
49,2410,0.000414938,1.664e-05,2.4608e-05,3,3,3,3,4,4,3,3,0,0,0
50,2512,0.000398089,1.6224e-05,2.544e-05,3,3,3,3,4,4,3,3,0,0,0
51,2468,0.000405186,1.648e-05,2.3936e-05,3,3,3,3,4,4,3,3,0,0,0
52,2345,0.000426439,1.568e-05,2.464e-05,3,3,3,3,4,4,3,3,0,0,0
53,2471,0.000404694,1.552e-05,2.4928e-05,3,3,3,3,4,4,3,3,0,0,0
54,2562,0.00039032,1.6608e-05,2.5312e-05,3,3,3,3,4,4,3,3,0,0,0
55,2534,0.000394633,1.6448e-05,2.464e-05,3,3,3,3,4,4,3,3,0,0,0
56,2493,0.000401123,1.5776e-05,2.4736e-05,3,3,3,3,4,4,3,3,0,0,0
57,2559,0.000390778,1.5424e-05,2.3392e-05,3,3,3,3,4,4,3,3,0,0,0
58,2406,0.000415628,1.5072e-05,2.3328e-05,3,3,3,3,4,4,3,3,0,0,0
59,2273,0.000439947,1.6544e-05,2.5632e-05,3,3,3,3,4,4,3,3,0,0,0
60,2193,0.000455996,1.7024e-05,2.6624e-05,3,3,3,3,4,4,3,3,0,0,0
