time,fps,cpums,cms,gms,expectedp,loadedp,shaderp_comp,shaderp_grph, expectedc,shaderc,threadcount, sidelen,density,PERR,CERR
0,4639,0.000215564,9.6e-06,1.4112e-05,3,3,0,0,4,0,0,6,0.5,0,0
1,5122,0.000195236,8.8e-06,1.4112e-05,3,3,0,0,4,0,0,6,0.5,0,0
2,5500,0.000181818,8.608e-06,1.2768e-05,3,3,0,0,4,0,0,6,0.5,0,0
3,5384,0.000185736,7.584e-06,1.2e-05,3,3,0,0,4,0,0,6,0.5,0,0
4,5293,0.000188929,8.128e-06,1.1936e-05,3,3,0,0,4,0,0,6,0.5,0,0
5,5683,0.000175963,7.584e-06,1.1936e-05,3,3,0,0,4,0,0,6,0.5,0,0
6,5847,0.000171028,7.808e-06,1.1296e-05,3,3,0,0,4,0,0,6,0.5,0,0
7,5703,0.000175346,8.096e-06,1.1264e-05,3,3,0,0,4,0,0,6,0.5,0,0
8,5767,0.0001734,7.68e-06,1.1328e-05,3,3,0,0,4,0,0,6,0.5,0,0
9,5824,0.000171703,7.744e-06,1.1456e-05,3,3,0,0,4,0,0,6,0.5,0,0
10,5655,0.000176835,7.488e-06,1.0752e-05,3,3,0,0,4,0,0,6,0.5,0,0
11,5380,0.000185874,7.776e-06,1.2064e-05,3,3,0,0,4,0,0,6,0.5,0,0
12,5831,0.000171497,7.488e-06,1.1936e-05,3,3,0,0,4,0,0,6,0.5,0,0
13,5857,0.000170736,7.456e-06,1.1936e-05,3,3,0,0,4,0,0,6,0.5,0,0
14,5793,0.000172622,7.936e-06,1.1392e-05,3,3,0,0,4,0,0,6,0.5,0,0
15,5757,0.000173702,8.064e-06,1.1712e-05,3,3,0,0,4,0,0,6,0.5,0,0
16,5736,0.000174338,8.032e-06,1.1904e-05,3,3,0,0,4,0,0,6,0.5,0,0
17,5733,0.000174429,7.872e-06,1.248e-05,3,3,0,0,4,0,0,6,0.5,0,0
18,6084,0.000164366,7.2e-06,1.1296e-05,3,3,0,0,4,0,0,6,0.5,0,0
19,6140,0.000162866,7.2e-06,1.0784e-05,3,3,0,0,4,0,0,6,0.5,0,0
