time,fps,cpums,cms,gms,expectedp,loadedp,shaderp_comp,shaderp_grph, expectedc,shaderc,threadcount, sidelen,density,PERR,CERR
0,11,0.0909091,0.074643,0.00164051,443392,443392,443392,441568,110848,110848,443392,21,0.25,0,0
1,13,0.0769231,0.0746765,0.0016367,443392,443392,443392,441376,110848,110848,443392,21,0.25,0,0
2,13,0.0769231,0.0751927,0.00165322,443392,443392,443392,442016,110848,110848,443392,21,0.25,0,0
3,12,0.0833333,0.0757655,0.00165165,443392,443392,443392,441408,110848,110848,443392,21,0.25,0,0
4,13,0.0769231,0.0752235,0.00164842,443392,443392,443392,441984,110848,110848,443392,21,0.25,0,0
5,13,0.0769231,0.0746489,0.00167344,443392,443392,443392,441984,110848,110848,443392,21,0.25,0,0
6,13,0.0769231,0.075198,0.00165622,443392,443392,443392,441376,110848,110848,443392,21,0.25,0,0
7,13,0.0769231,0.0751429,0.00166528,443392,443392,443392,441504,110848,110848,443392,21,0.25,0,0
8,13,0.0769231,0.0751736,0.00166131,443392,443392,443392,442016,110848,110848,443392,21,0.25,0,0
9,12,0.0833333,0.0752079,0.0016233,443392,443392,443392,442240,110848,110848,443392,21,0.25,0,0
10,13,0.0769231,0.0751729,0.00162826,443392,443392,443392,441728,110848,110848,443392,21,0.25,0,0
11,13,0.0769231,0.0751548,0.00164131,443392,443392,443392,441888,110848,110848,443392,21,0.25,0,0
12,13,0.0769231,0.0757482,0.00164784,443392,443392,443392,441728,110848,110848,443392,21,0.25,0,0
13,13,0.0769231,0.0751557,0.00165693,443392,443392,443392,442144,110848,110848,443392,21,0.25,0,0
14,13,0.0769231,0.0751674,0.00164512,443392,443392,443392,441952,110848,110848,443392,21,0.25,0,0
15,13,0.0769231,0.0752232,0.0016264,443392,443392,443392,441664,110848,110848,443392,21,0.25,0,0
16,12,0.0833333,0.0752418,0.00161709,443392,443392,443392,441248,110848,110848,443392,21,0.25,0,0
17,13,0.0769231,0.0751617,0.00166326,443392,443392,443392,441856,110848,110848,443392,21,0.25,0,0
18,13,0.0769231,0.0752477,0.00163894,443392,443392,443392,439744,110848,110848,443392,21,0.25,0,0
19,13,0.0769231,0.0751696,0.00163357,443392,443392,443392,442016,110848,110848,443392,21,0.25,0,0
20,13,0.0769231,0.074615,0.00165757,443392,443392,443392,442592,110848,110848,443392,21,0.25,0,0
21,13,0.0769231,0.0746241,0.00166045,443392,443392,443392,441280,110848,110848,443392,21,0.25,0,0
22,12,0.0833333,0.0746225,0.00165437,443392,443392,443392,441632,110848,110848,443392,21,0.25,0,0
23,12,0.0833333,0.0751901,0.00162736,443392,443392,443392,441504,110848,110848,443392,21,0.25,0,0
24,13,0.0769231,0.0752125,0.00162534,443392,443392,443392,441664,110848,110848,443392,21,0.25,0,0
25,13,0.0769231,0.0751666,0.00164138,443392,443392,443392,441984,110848,110848,443392,21,0.25,0,0
26,13,0.0769231,0.0746431,0.00163472,443392,443392,443392,441408,110848,110848,443392,21,0.25,0,0
27,13,0.0769231,0.0751656,0.00164522,443392,443392,443392,441248,110848,110848,443392,21,0.25,0,0
28,13,0.0769231,0.075167,0.00164752,443392,443392,443392,441888,110848,110848,443392,21,0.25,0,0
29,13,0.0769231,0.075159,0.00165366,443392,443392,443392,441568,110848,110848,443392,21,0.25,0,0
30,12,0.0833333,0.0752079,0.00164253,443392,443392,443392,435360,110848,110848,443392,21,0.25,0,0
31,13,0.0769231,0.0746614,0.0016495,443392,443392,443392,441056,110848,110848,443392,21,0.25,0,0
32,13,0.0769231,0.0751564,0.00165123,443392,443392,443392,441280,110848,110848,443392,21,0.25,0,0
33,13,0.0769231,0.0751831,0.00160698,443392,443392,443392,441344,110848,110848,443392,21,0.25,0,0
34,13,0.0769231,0.075226,0.00164013,443392,443392,443392,441440,110848,110848,443392,21,0.25,0,0
35,13,0.0769231,0.0746472,0.00163802,443392,443392,443392,441856,110848,110848,443392,21,0.25,0,0
36,12,0.0833333,0.0746502,0.00161168,443392,443392,443392,440928,110848,110848,443392,21,0.25,0,0
37,13,0.0769231,0.0751775,0.00166221,443392,443392,443392,441696,110848,110848,443392,21,0.25,0,0
38,13,0.0769231,0.0751567,0.00165114,443392,443392,443392,441376,110848,110848,443392,21,0.25,0,0
39,13,0.0769231,0.0751689,0.00165251,443392,443392,443392,442176,110848,110848,443392,21,0.25,0,0
40,13,0.0769231,0.0751616,0.00162925,443392,443392,443392,441472,110848,110848,443392,21,0.25,0,0
41,13,0.0769231,0.0757184,0.00162326,443392,443392,443392,441280,110848,110848,443392,21,0.25,0,0
42,12,0.0833333,0.0751872,0.00163552,443392,443392,443392,441536,110848,110848,443392,21,0.25,0,0
43,13,0.0769231,0.0751852,0.00165782,443392,443392,443392,441760,110848,110848,443392,21,0.25,0,0
44,13,0.0769231,0.0746584,0.0016377,443392,443392,443392,441120,110848,110848,443392,21,0.25,0,0
45,13,0.0769231,0.0756828,0.00162592,443392,443392,443392,439936,110848,110848,443392,21,0.25,0,0
46,13,0.0769231,0.0751746,0.00163126,443392,443392,443392,442176,110848,110848,443392,21,0.25,0,0
47,13,0.0769231,0.0746191,0.0016272,443392,443392,443392,442144,110848,110848,443392,21,0.25,0,0
48,12,0.0833333,0.0746452,0.00162134,443392,443392,443392,441920,110848,110848,443392,21,0.25,0,0
49,13,0.0769231,0.0757097,0.00164272,443392,443392,443392,440672,110848,110848,443392,21,0.25,0,0
50,13,0.0769231,0.0751897,0.00161328,443392,443392,443392,441888,110848,110848,443392,21,0.25,0,0
51,13,0.0769231,0.0746044,0.00163466,443392,443392,443392,441920,110848,110848,443392,21,0.25,0,0
52,13,0.0769231,0.0746242,0.00163037,443392,443392,443392,442208,110848,110848,443392,21,0.25,0,0
53,13,0.0769231,0.0751747,0.00164317,443392,443392,443392,440064,110848,110848,443392,21,0.25,0,0
54,13,0.0769231,0.0751964,0.00161699,443392,443392,443392,440768,110848,110848,443392,21,0.25,0,0
55,12,0.0833333,0.0751642,0.00161869,443392,443392,443392,441024,110848,110848,443392,21,0.25,0,0
56,13,0.0769231,0.075166,0.00166134,443392,443392,443392,441952,110848,110848,443392,21,0.25,0,0
57,13,0.0769231,0.0746346,0.0016297,443392,443392,443392,441984,110848,110848,443392,21,0.25,0,0
58,13,0.0769231,0.0751866,0.00163341,443392,443392,443392,441280,110848,110848,443392,21,0.25,0,0
59,13,0.0769231,0.0751528,0.0016609,443392,443392,443392,441024,110848,110848,443392,21,0.25,0,0
60,13,0.0769231,0.0751436,0.00164634,443392,443392,443392,441760,110848,110848,443392,21,0.25,0,0
