time,fps,cpums,cms,gms,expectedp,loadedp,shaderp_comp,shaderp_grph, expectedc,shaderc,threadcount, sidelen,density,PERR,CERR
0,14,0.0714286,0.0747167,0.00163901,443392,443392,0,0,332544,0,0,21,0.75,0,0
1,13,0.0769231,0.074708,0.00165443,443392,443392,0,0,332544,0,0,21,0.75,0,0
2,13,0.0769231,0.0752287,0.00163914,443392,443392,0,0,332544,0,0,21,0.75,0,0
3,13,0.0769231,0.0749904,0.00166,443392,443392,0,0,332544,0,0,21,0.75,0,0
4,13,0.0769231,0.0752769,0.00162784,443392,443392,0,0,332544,0,0,21,0.75,0,0
5,13,0.0769231,0.0752902,0.0016391,443392,443392,0,0,332544,0,0,21,0.75,0,0
6,13,0.0769231,0.0749906,0.00162077,443392,443392,0,0,332544,0,0,21,0.75,0,0
7,13,0.0769231,0.0752907,0.00164163,443392,443392,0,0,332544,0,0,21,0.75,0,0
8,13,0.0769231,0.0752211,0.00165286,443392,443392,0,0,332544,0,0,21,0.75,0,0
9,13,0.0769231,0.074975,0.00165661,443392,443392,0,0,332544,0,0,21,0.75,0,0
10,12,0.0833333,0.0746887,0.00160234,443392,443392,0,0,332544,0,0,21,0.75,0,0
11,13,0.0769231,0.0746975,0.0016407,443392,443392,0,0,332544,0,0,21,0.75,0,0
12,13,0.0769231,0.075264,0.00163376,443392,443392,0,0,332544,0,0,21,0.75,0,0
13,13,0.0769231,0.0749743,0.0016159,443392,443392,0,0,332544,0,0,21,0.75,0,0
14,13,0.0769231,0.074924,0.00163885,443392,443392,0,0,332544,0,0,21,0.75,0,0
15,13,0.0769231,0.0757894,0.00162144,443392,443392,0,0,332544,0,0,21,0.75,0,0
16,13,0.0769231,0.0752524,0.00160995,443392,443392,0,0,332544,0,0,21,0.75,0,0
17,13,0.0769231,0.0752347,0.00163885,443392,443392,0,0,332544,0,0,21,0.75,0,0
18,13,0.0769231,0.0747088,0.00166886,443392,443392,0,0,332544,0,0,21,0.75,0,0
19,13,0.0769231,0.0752526,0.00160707,443392,443392,0,0,332544,0,0,21,0.75,0,0
20,13,0.0769231,0.0747171,0.00162832,443392,443392,0,0,332544,0,0,21,0.75,0,0
21,13,0.0769231,0.0752439,0.00164186,443392,443392,0,0,332544,0,0,21,0.75,0,0
22,12,0.0833333,0.0749562,0.00162768,443392,443392,0,0,332544,0,0,21,0.75,0,0
23,13,0.0769231,0.0752702,0.00161232,443392,443392,0,0,332544,0,0,21,0.75,0,0
24,13,0.0769231,0.0752463,0.00163446,443392,443392,0,0,332544,0,0,21,0.75,0,0
25,13,0.0769231,0.0747392,0.00163978,443392,443392,0,0,332544,0,0,21,0.75,0,0
26,13,0.0769231,0.0758009,0.00163322,443392,443392,0,0,332544,0,0,21,0.75,0,0
27,13,0.0769231,0.0752396,0.00165082,443392,443392,0,0,332544,0,0,21,0.75,0,0
28,13,0.0769231,0.07472,0.00162419,443392,443392,0,0,332544,0,0,21,0.75,0,0
29,13,0.0769231,0.0752467,0.00163699,443392,443392,0,0,332544,0,0,21,0.75,0,0
30,13,0.0769231,0.0752319,0.00162746,443392,443392,0,0,332544,0,0,21,0.75,0,0
31,13,0.0769231,0.0749476,0.00162803,443392,443392,0,0,332544,0,0,21,0.75,0,0
32,13,0.0769231,0.0752787,0.00162496,443392,443392,0,0,332544,0,0,21,0.75,0,0
33,13,0.0769231,0.0752492,0.001652,443392,443392,0,0,332544,0,0,21,0.75,0,0
34,13,0.0769231,0.0746878,0.00162336,443392,443392,0,0,332544,0,0,21,0.75,0,0
35,12,0.0833333,0.0747149,0.00162422,443392,443392,0,0,332544,0,0,21,0.75,0,0
36,13,0.0769231,0.0750009,0.00163587,443392,443392,0,0,332544,0,0,21,0.75,0,0
37,13,0.0769231,0.0746816,0.00163389,443392,443392,0,0,332544,0,0,21,0.75,0,0
38,13,0.0769231,0.0755097,0.00164554,443392,443392,0,0,332544,0,0,21,0.75,0,0
39,13,0.0769231,0.0752478,0.00163923,443392,443392,0,0,332544,0,0,21,0.75,0,0
40,13,0.0769231,0.0747168,0.00161101,443392,443392,0,0,332544,0,0,21,0.75,0,0
41,13,0.0769231,0.0752423,0.00163123,443392,443392,0,0,332544,0,0,21,0.75,0,0
42,13,0.0769231,0.0752919,0.00163981,443392,443392,0,0,332544,0,0,21,0.75,0,0
43,13,0.0769231,0.074711,0.00162579,443392,443392,0,0,332544,0,0,21,0.75,0,0
44,13,0.0769231,0.0752399,0.00164416,443392,443392,0,0,332544,0,0,21,0.75,0,0
45,13,0.0769231,0.0749705,0.00164067,443392,443392,0,0,332544,0,0,21,0.75,0,0
46,13,0.0769231,0.0746888,0.00164528,443392,443392,0,0,332544,0,0,21,0.75,0,0
47,12,0.0833333,0.0752953,0.00164634,443392,443392,0,0,332544,0,0,21,0.75,0,0
48,13,0.0769231,0.0752484,0.00163261,443392,443392,0,0,332544,0,0,21,0.75,0,0
49,13,0.0769231,0.0752271,0.00163773,443392,443392,0,0,332544,0,0,21,0.75,0,0
50,13,0.0769231,0.074692,0.00161757,443392,443392,0,0,332544,0,0,21,0.75,0,0
51,13,0.0769231,0.0755275,0.0016264,443392,443392,0,0,332544,0,0,21,0.75,0,0
52,13,0.0769231,0.0757703,0.00159725,443392,443392,0,0,332544,0,0,21,0.75,0,0
53,13,0.0769231,0.0749858,0.00163226,443392,443392,0,0,332544,0,0,21,0.75,0,0
54,13,0.0769231,0.074709,0.0016335,443392,443392,0,0,332544,0,0,21,0.75,0,0
55,13,0.0769231,0.0754813,0.00164051,443392,443392,0,0,332544,0,0,21,0.75,0,0
56,13,0.0769231,0.075253,0.00165504,443392,443392,0,0,332544,0,0,21,0.75,0,0
57,12,0.0833333,0.075218,0.00160611,443392,443392,0,0,332544,0,0,21,0.75,0,0
58,13,0.0769231,0.0751929,0.00161821,443392,443392,0,0,332544,0,0,21,0.75,0,0
59,13,0.0769231,0.0758577,0.00164368,443392,443392,0,0,332544,0,0,21,0.75,0,0
60,13,0.0769231,0.0747383,0.00164701,443392,443392,0,0,332544,0,0,21,0.75,0,0
