time,fps,cpums,cms,gms,expectedp,loadedp,shaderp_comp,shaderp_grph, expectedc,shaderc,threadcount, sidelen,density,PERR,CERR
0,21,0.047619,0.0225283,0.0139144,3867648,3867648,3867648,3865952,1933824,1933824,3867648,80,0.5,0,0
1,26,0.0384615,0.022548,0.0138293,3867648,3867648,3867648,3867648,1933824,1933824,3867648,80,0.5,0,0
2,27,0.037037,0.0227471,0.0138861,3867648,3867648,3867648,3867648,1933824,1933824,3867648,80,0.5,0,0
3,27,0.037037,0.0225286,0.0139771,3867648,3867648,3867648,3867648,1933824,1933824,3867648,80,0.5,0,0
4,26,0.0384615,0.0225565,0.0138619,3867648,3867648,3867648,3859488,1933824,1933824,3867648,80,0.5,0,0
5,27,0.037037,0.0226997,0.0139496,3867648,3867648,3867648,3867648,1933824,1933824,3867648,80,0.5,0,0
6,27,0.037037,0.0225407,0.0138292,3867648,3867648,3867648,3865216,1933824,1933824,3867648,80,0.5,0,0
7,26,0.0384615,0.0225269,0.0139558,3867648,3867648,3867648,3867648,1933824,1933824,3867648,80,0.5,0,0
8,27,0.037037,0.0225425,0.0137555,3867648,3867648,3867648,3859744,1933824,1933824,3867648,80,0.5,0,0
9,27,0.037037,0.0227274,0.0139099,3867648,3867648,3867648,3858944,1933824,1933824,3867648,80,0.5,0,0
10,26,0.0384615,0.0227358,0.0138824,3867648,3867648,3867648,3859232,1933824,1933824,3867648,80,0.5,0,0
11,27,0.037037,0.0225381,0.0139602,3867648,3867648,3867648,3862880,1933824,1933824,3867648,80,0.5,0,0
12,26,0.0384615,0.0225318,0.0140206,3867648,3867648,3867648,3867648,1933824,1933824,3867648,80,0.5,0,0
13,27,0.037037,0.0225277,0.0138232,3867648,3867648,3867648,3859328,1933824,1933824,3867648,80,0.5,0,0
14,27,0.037037,0.0225323,0.0140085,3867648,3867648,3867648,3862784,1933824,1933824,3867648,80,0.5,0,0
15,27,0.037037,0.0225315,0.0138956,3867648,3867648,3867648,3859328,1933824,1933824,3867648,80,0.5,0,0
16,26,0.0384615,0.0225292,0.013913,3867648,3867648,3867648,3866400,1933824,1933824,3867648,80,0.5,0,0
17,27,0.037037,0.02253,0.0138784,3867648,3867648,3867648,3863616,1933824,1933824,3867648,80,0.5,0,0
18,27,0.037037,0.0225282,0.013875,3867648,3867648,3867648,3859424,1933824,1933824,3867648,80,0.5,0,0
19,26,0.0384615,0.0225415,0.0139025,3867648,3867648,3867648,3867648,1933824,1933824,3867648,80,0.5,0,0
20,27,0.037037,0.0225425,0.0139616,3867648,3867648,3867648,3867648,1933824,1933824,3867648,80,0.5,0,0
21,21,0.047619,0.022538,0.0138812,3867648,3867648,3867648,3867648,1933824,1933824,3867648,80,0.5,0,0
22,26,0.0384615,0.0225386,0.0139948,3867648,3867648,3867648,3867648,1933824,1933824,3867648,80,0.5,0,0
23,27,0.037037,0.0225277,0.0138312,3867648,3867648,3867648,3859360,1933824,1933824,3867648,80,0.5,0,0
24,26,0.0384615,0.0227358,0.0138212,3867648,3867648,3867648,3859200,1933824,1933824,3867648,80,0.5,0,0
25,27,0.037037,0.0225316,0.0139652,3867648,3867648,3867648,3866368,1933824,1933824,3867648,80,0.5,0,0
26,27,0.037037,0.022534,0.013878,3867648,3867648,3867648,3867360,1933824,1933824,3867648,80,0.5,0,0
27,26,0.0384615,0.0225257,0.0139322,3867648,3867648,3867648,3867200,1933824,1933824,3867648,80,0.5,0,0
28,27,0.037037,0.022533,0.0139222,3867648,3867648,3867648,3859552,1933824,1933824,3867648,80,0.5,0,0
29,26,0.0384615,0.0225415,0.0137457,3867648,3867648,3867648,3864896,1933824,1933824,3867648,80,0.5,0,0
