time,fps,cpums,cms,gms,expectedp,loadedp,shaderp_comp,shaderp_grph, expectedc,shaderc,threadcount, sidelen,density,PERR,CERR
0,26,0.0384615,0.0234541,0.015101,4260864,4260864,0,0,2130432,0,0,83,0.5,0,0
1,25,0.04,0.023463,0.0152455,4260864,4260864,0,0,2130432,0,0,83,0.5,0,0
2,26,0.0384615,0.0238315,0.0151623,4260864,4260864,0,0,2130432,0,0,83,0.5,0,0
3,25,0.04,0.0234632,0.0150842,4260864,4260864,0,0,2130432,0,0,83,0.5,0,0
4,26,0.0384615,0.02347,0.0150985,4260864,4260864,0,0,2130432,0,0,83,0.5,0,0
5,25,0.04,0.0234559,0.015169,4260864,4260864,0,0,2130432,0,0,83,0.5,0,0
6,26,0.0384615,0.0234573,0.0151639,4260864,4260864,0,0,2130432,0,0,83,0.5,0,0
7,25,0.04,0.0236478,0.0150898,4260864,4260864,0,0,2130432,0,0,83,0.5,0,0
8,26,0.0384615,0.023457,0.0150271,4260864,4260864,0,0,2130432,0,0,83,0.5,0,0
9,25,0.04,0.0234664,0.0150153,4260864,4260864,0,0,2130432,0,0,83,0.5,0,0
10,21,0.047619,0.0234614,0.0151387,4260864,4260864,0,0,2130432,0,0,83,0.5,0,0
11,25,0.04,0.0234548,0.0150486,4260864,4260864,0,0,2130432,0,0,83,0.5,0,0
12,26,0.0384615,0.0234565,0.0152164,4260864,4260864,0,0,2130432,0,0,83,0.5,0,0
13,25,0.04,0.0234542,0.0151545,4260864,4260864,0,0,2130432,0,0,83,0.5,0,0
14,26,0.0384615,0.023461,0.0150805,4260864,4260864,0,0,2130432,0,0,83,0.5,0,0
15,25,0.04,0.0234554,0.0151699,4260864,4260864,0,0,2130432,0,0,83,0.5,0,0
16,26,0.0384615,0.0234587,0.0151321,4260864,4260864,0,0,2130432,0,0,83,0.5,0,0
17,25,0.04,0.0234521,0.0151773,4260864,4260864,0,0,2130432,0,0,83,0.5,0,0
18,26,0.0384615,0.0234581,0.0150877,4260864,4260864,0,0,2130432,0,0,83,0.5,0,0
19,25,0.04,0.0234579,0.0152094,4260864,4260864,0,0,2130432,0,0,83,0.5,0,0
20,26,0.0384615,0.0236488,0.0151448,4260864,4260864,0,0,2130432,0,0,83,0.5,0,0
21,25,0.04,0.0234649,0.0150456,4260864,4260864,0,0,2130432,0,0,83,0.5,0,0
22,26,0.0384615,0.0236489,0.0150668,4260864,4260864,0,0,2130432,0,0,83,0.5,0,0
23,25,0.04,0.0234551,0.015149,4260864,4260864,0,0,2130432,0,0,83,0.5,0,0
24,26,0.0384615,0.0234575,0.0151342,4260864,4260864,0,0,2130432,0,0,83,0.5,0,0
25,25,0.04,0.0234555,0.0151115,4260864,4260864,0,0,2130432,0,0,83,0.5,0,0
26,26,0.0384615,0.0234551,0.0152307,4260864,4260864,0,0,2130432,0,0,83,0.5,0,0
27,26,0.0384615,0.0234502,0.0151492,4260864,4260864,0,0,2130432,0,0,83,0.5,0,0
28,25,0.04,0.0234554,0.0151028,4260864,4260864,0,0,2130432,0,0,83,0.5,0,0
29,26,0.0384615,0.0234524,0.0151389,4260864,4260864,0,0,2130432,0,0,83,0.5,0,0
30,25,0.04,0.0234508,0.0151729,4260864,4260864,0,0,2130432,0,0,83,0.5,0,0
31,26,0.0384615,0.0234622,0.015075,4260864,4260864,0,0,2130432,0,0,83,0.5,0,0
32,25,0.04,0.0234598,0.0150681,4260864,4260864,0,0,2130432,0,0,83,0.5,0,0
33,26,0.0384615,0.0234595,0.0150856,4260864,4260864,0,0,2130432,0,0,83,0.5,0,0
34,25,0.04,0.0236532,0.0151647,4260864,4260864,0,0,2130432,0,0,83,0.5,0,0
35,26,0.0384615,0.023477,0.0151297,4260864,4260864,0,0,2130432,0,0,83,0.5,0,0
36,25,0.04,0.0234608,0.0152697,4260864,4260864,0,0,2130432,0,0,83,0.5,0,0
37,26,0.0384615,0.023456,0.0151932,4260864,4260864,0,0,2130432,0,0,83,0.5,0,0
38,25,0.04,0.0234682,0.0150183,4260864,4260864,0,0,2130432,0,0,83,0.5,0,0
39,26,0.0384615,0.0234581,0.0151626,4260864,4260864,0,0,2130432,0,0,83,0.5,0,0
40,25,0.04,0.0234575,0.0151981,4260864,4260864,0,0,2130432,0,0,83,0.5,0,0
41,26,0.0384615,0.0234718,0.015182,4260864,4260864,0,0,2130432,0,0,83,0.5,0,0
42,25,0.04,0.0234564,0.0151125,4260864,4260864,0,0,2130432,0,0,83,0.5,0,0
43,26,0.0384615,0.023456,0.0151134,4260864,4260864,0,0,2130432,0,0,83,0.5,0,0
44,25,0.04,0.0236609,0.0151348,4260864,4260864,0,0,2130432,0,0,83,0.5,0,0
45,26,0.0384615,0.0234565,0.015077,4260864,4260864,0,0,2130432,0,0,83,0.5,0,0
46,25,0.04,0.0234674,0.0151351,4260864,4260864,0,0,2130432,0,0,83,0.5,0,0
47,26,0.0384615,0.0234589,0.0151212,4260864,4260864,0,0,2130432,0,0,83,0.5,0,0
48,25,0.04,0.0234617,0.0152212,4260864,4260864,0,0,2130432,0,0,83,0.5,0,0
49,26,0.0384615,0.0234584,0.0151711,4260864,4260864,0,0,2130432,0,0,83,0.5,0,0
50,25,0.04,0.0234649,0.0150385,4260864,4260864,0,0,2130432,0,0,83,0.5,0,0
51,26,0.0384615,0.023458,0.0152388,4260864,4260864,0,0,2130432,0,0,83,0.5,0,0
52,25,0.04,0.0234564,0.0151097,4260864,4260864,0,0,2130432,0,0,83,0.5,0,0
53,26,0.0384615,0.0234689,0.0151787,4260864,4260864,0,0,2130432,0,0,83,0.5,0,0
54,25,0.04,0.0234636,0.0151505,4260864,4260864,0,0,2130432,0,0,83,0.5,0,0
55,26,0.0384615,0.0236585,0.0151423,4260864,4260864,0,0,2130432,0,0,83,0.5,0,0
56,25,0.04,0.0234629,0.015058,4260864,4260864,0,0,2130432,0,0,83,0.5,0,0
57,26,0.0384615,0.0234537,0.0151834,4260864,4260864,0,0,2130432,0,0,83,0.5,0,0
58,25,0.04,0.0234633,0.0151767,4260864,4260864,0,0,2130432,0,0,83,0.5,0,0
59,26,0.0384615,0.0234616,0.0151538,4260864,4260864,0,0,2130432,0,0,83,0.5,0,0
60,25,0.04,0.0234544,0.0150612,4260864,4260864,0,0,2130432,0,0,83,0.5,0,0
